,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
178,2012_114,2012,114,8/23/2016,S,W,9.2,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
179,2012_114,2012,114,8/23/2016,S,W,9.1,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
180,2012_114,2012,114,8/23/2016,S,W,8.4,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
181,2012_114,2012,114,8/23/2016,S,W,7.8,LAOC,5,NA,1,post,n,NA,,1,1,333.3333333
182,2012_114,2012,114,8/23/2016,S,W,7.8,LAOC,5,NA,1,post ,n,NA,,1,1,333.3333333
183,2012_114,2012,114,8/23/2016,S,W,7.8,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
184,2012_114,2012,114,8/23/2016,S,W,7.4,LAOC,1,NA,1,post,n,NA,,1,1,333.3333333
185,2012_114,2012,114,8/23/2016,S,W,7.4,LAOC,1,NA,1,post,n,NA,,1,1,333.3333333
186,2012_114,2012,114,8/23/2016,S,W,7,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
187,2012_114,2012,114,8/23/2016,S,W,6.6,LAOC,2,NA,1,post,n,NA,,1,1,333.3333333
188,2012_114,2012,114,8/23/2016,S,W,2.5,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
189,2012_114,2012,114,8/23/2016,S,W,0.9,LAOC,6,NA,1,post,n,NA,,1,1,333.3333333
190,2012_114,2012,114,8/23/2016,S,W,0.1,LAOC,11,NA,2,post,n,NA,,1,1,333.3333333
191,2012_114,2012,114,8/23/2016,S,N,15.1,LAOC,15,NA,3,post,n,NA,,1,1,333.3333333
192,2012_114,2012,114,8/23/2016,S,N,15.1,LAOC,3,NA,1,post,n,NA,,1,1,333.3333333
193,2012_114,2012,114,8/23/2016,S,N,15.7,LAOC,16,NA,3,post,n,NA,,1,1,333.3333333
194,2012_114,2012,114,8/23/2016,S,N,17.7,LAOC,4,NA,1,post,n,NA,,1,1,333.3333333
195,2012_114,2012,114,8/23/2016,S,N,17.7,LAOC,3,NA,1,post ,n,NA,,1,1,333.3333333
