SortKey,Fire_year,Plot_#,Yr_Plot,Subplot_NE/SW,Date,Shrub_1_species,Shrub_1_%cover,Shrub_2_species,Shrub_2_%cover,Shrub_3_species,Shrub_3_%cover,Total_shrub_%cover,Shrubs_Mean_height_m,Shrubs_Max_height_m,Herbs_%cover,Graminoid_%cover,
319,2014,115,2014_115,N,6/17/2018,CEVE,7,Salix,3,,,10,0.5,0.5,35,25,
320,2014,115,2014_115,E,6/17/2018,SYAL,3,CEVE,2,PEFR,0.1,5,0.5,0.4,50,10,
321,2014,115,2014_115,S,6/17/2018,CEVE,1,,,,,1,0.5,0.25,60,17,
322,2014,115,2014_115,W,6/17/2018,SYAL,25,CEVE,0.1,,,25,0.5,0.75,35,12,
19,2012,124,2012_124,SW,8/30/2016,PEFR,1,,,,,1,0,0.2,8,19,
20,2012,124,2012_124,NE,8/30/2016,ARTR ,1,,,,,1,0,0.2,15,7,
347,2014,125,2014_125,E,6/19/2018,CEVE,30,,,,,30,0.5,0.7,20,80,
348,2014,125,2014_125,N,6/19/2018,CEVE,20,,,,,20,0.5,0.65,20,25,
349,2014,125,2014_125,W,6/19/2018,CEVE,8,,,,,8,0.5,0.85,25,35,
350,2014,125,2014_125,S,6/19/2018,CEVE,5,,,,,5,0.5,0.6,30,70,
21,2012,130,2012_130,NE,8/24/2016,Salix,6,SACA,3,RILA,2,10,1,1.5,90,1,
22,2012,130,2012_130,SW,8/24/2016,RILA,10,RUPA,6,SACA,3,19,0.5,0.9,55,4,
125,2013,130,2013_130,NE,10/5/2017,SARA,4,,,,,4,1,1.1,3,0.1,
126,2013,130,2013_130,SW,10/5/2017,Salix,0.1,SARA,1,Vaccinium,0.1,1.2,0.5,0.6,1,0.1,
127,2013,131,2013_131,SW,10/5/2017,Salix,0.1,,,,,0.1,0,0.2,6,35,
128,2013,131,2013_131,NE,10/5/2017,UNK,0.1,,,,,0.1,0,0.3,3,60,
343,2014,132,2014_132,E,6/19/2018,none,0,,,,,0,0,0,60,50,
344,2014,132,2014_132,S,6/19/2018,AMAL,5,,,,,5,0.5,1.05,65,60,
345,2014,132,2014_132,W,6/19/2018,none,0,,,,,0,0,0,10,90,
346,2014,132,2014_132,N,6/19/2018,none,0,,,,,0,0,0,45,30,
129,2013,134,2013_134,SW,10/5/2017,Ribes,5,RILA,0.1,Salix,0.1,5.2,0,0.3,1,4,
130,2013,134,2013_134,NE,10/5/2017,RILA,2,Salix,2,Ribes,1,5,0,0.5,3,3,
123,2013,138,2013_138,SW,10/5/2017,Salix,10,,,,,10,0.5,0.4,25,4,
124,2013,138,2013_138,NE,10/5/2017,Salix,4,,,,,4,0,0.3,35,40,
119,2013,146,2013_146,SW,10/4/2017,HODI,6,Salix,1,,,7,0.5,0.8,2,70,
120,2013,146,2013_146,NE,10/4/2017,HODI,20,SYAL,15,SPBE,5,70,1,3,5,10,
23,2012,147,2012_147,NE,8/30/2016,PRVI,15,Salix,2,,,15,0.5,0.6,20,4,
24,2012,147,2012_147,SW,8/30/2016,PRVI,15,Salix,8,RIVI,1,25,0.5,1.5,25,1,
25,2012,150,2012_150,NE,9/13/2016,CEVE,1,PRPE ,1,,,2,0,0.1,5,15,
26,2012,150,2012_150,SW,9/13/2016,PRPE,2,PAMY,1,Salix,1,4,0,0.4,7,10,
117,2013,151,2013_151,SW,10/4/2017,CEVE,15,,,,,15,0.5,0.7,25,60,
118,2013,151,2013_151,NE,10/4/2017,CEVE,1,,,,,1,0.5,0.4,35,75,
131,2013,153,2013_153,NE,10/6/2017,CEVE,3,SYAL,1,,,4,0,0.2,5,85,
132,2013,153,2013_153,SW,10/6/2017,CEVE,5,Prunus,2,SYAL,1,6,0,0.4,5,80,
367,2014,156,2014_156,S,6/19/2018,none,0,,,,,0,0,0,40,60,
368,2014,156,2014_156,W,6/19/2018,RICE,5,,,,,5,0.5,0.65,5,5,
369,2014,156,2014_156,N,6/19/2018,none,0,,,,,0,0,0,20,65,
370,2014,156,2014_156,E,6/19/2018,none,0,,,,,0,0,0,20,75,
113,2013,159,2013_159,SW,10/3/2017,CEVE,15,SYAL,0.1,,,15,0.5,0.4,70,25,
114,2013,159,2013_159,NE,10/3/2017,CEVE,15,,,,,15,0.5,0.4,60,50,
283,2014,159,2014_159,N,6/15/2018,Salix,5,SPBE,1,SHCA,3,9,0.5,0.8,20,3,
284,2014,159,2014_159,W,6/15/2018,SPBE,20,Salix,4,,,24,0.5,0.5,15,5,
285,2014,159,2014_159,E,6/15/2018,Salix,5,SPBE,10,,,15,0.5,1.1,25,0,
286,2014,159,2014_159,S,6/15/2018,Salix,6,SPBE,1,,,7,0.5,0.7,35,2,
115,2013,160,2013_160,NE,10/3/2017,none,0,,,,,0,0,0,50,55,
116,2013,160,2013_160,SW,10/3/2017,HODI,1,,,,,1,0.5,0.3,30,75,
111,2013,161,2013_161,SW,10/3/2017,CEVE,9,SYAL,1,,,10,0.5,0.4,45,65,
112,2013,161,2013_161,NE,10/3/2017,CEVE,25,SYAL,0.1,,,25.1,0.5,0.5,35,55,
403,2014,164,2014_164,N,6/29/2018,SPBE,70,AMAL,10,ACGL,5,87,0.5,0.8,30,2,
404,2014,164,2014_164,E,6/29/2018,CEVE,40,SPBE,30,Salix,25,95,0.5,1.95,10,10,
405,2014,164,2014_164,S,6/29/2018,SPBE,70,ACGL,25,CEVE,15,110,0.5,2.8,5,0,
406,2014,164,2014_164,W,6/29/2018,SPBE,30,AMAL,20,CEVE,15,70,1,1.1,5,5,
121,2013,166,2013_166,SW,10/4/2017,none,0,,,,,0,0,0,90,60,
122,2013,166,2013_166,NE,10/4/2017,none,0,,,,,0,0,0,75,85,
407,2014,169,2014_169,E,6/30/2018,SPBE,8,AMAL,4,CEVE,2,14,0.5,0.55,30,2,
408,2014,169,2014_169,S,6/30/2018,CEVE,10,,,,,10,0.5,0.5,85,15,
409,2014,169,2014_169,W,6/30/2018,CEVE,40,AMAL,5,,,45,0.5,0.95,70,10,
410,2014,169,2014_169,N,6/30/2018,CEVE,5,,,,,5,0.2,0.2,45,10,
411,2014,170,2014_170,W,6/30/2018,Salix,30,,,,,30,1.5,3.3,45,35,
412,2014,170,2014_170,N,6/30/2018,Salix,25,,,,,25,0.5,0.7,85,15,
413,2014,170,2014_170,E,6/30/2018,Salix,15,,,,,15,0.5,0.8,90,5,
414,2014,170,2014_170,S,6/30/2018,Salix,5,,,,,5,0.5,0.5,65,30,
279,2014,174,2014_174,E,6/15/2018,SPBE,4,,,,,4,0.5,0.5,30,10,
280,2014,174,2014_174,S,6/15/2018,Salix,7,SPBE,7,,,14,0.5,0.6,45,1,
281,2014,174,2014_174,W,6/15/2018,SPBE,20,SHCA,3,Salix,15,38,0.5,0.6,50,5,
282,2014,174,2014_174,N,6/15/2018,AMAL,2,SHCA,2,SPBE,7,11,0.5,0.4,35,3,
287,2014,175,2014_175,S,6/15/2018,SPBE,20,,,,,20,0.3,0.4,30,25,
288,2014,175,2014_175,N,6/15/2018,SPBE,30,PAMY,15,,,45,0.2,0.45,25,15,
289,2014,175,2014_175,W,6/15/2018,Salix,15,SPBE,10,,,25,0.4,0.7,15,5,
290,2014,175,2014_175,E,6/15/2018,SPBE,10,SHCA,10,,,20,0.2,0.4,25,2,
231,2014,177,2014_177,W,6/5/2018,none,0,,,,,0,0,0,45,60,
232,2014,177,2014_177,N,6/5/2018,ROGY,0.1,SYAL,0.1,AMAL,0.1,1,0.5,0.2,30,60,
233,2014,177,2014_177,E,6/5/2018,none,0,,,,,0,0,0,25,50,
234,2014,177,2014_177,S,6/5/2018,none,0,,,,,0,0,0,25,45,
247,2014,183,2014_183,E,6/7/2018,HODI,1,SARA,5,UNK,1,7,0.4,1,15,25,
248,2014,183,2014_183,S,6/7/2018,SYAL,2,UNK,20,SARA,10,33,0.7,1.4,30,15,
249,2014,183,2014_183,W,6/7/2018,UNK,10,,,,,10,0.3,0.5,15,60,
250,2014,183,2014_183,N,6/7/2018,SARA,5,BEAQ,5,RULE,4,17,0.8,1.1,15,8,
327,2014,188,2014_188,E,6/18/2018,CEVE,8,,,,,8,0.5,0.45,35,4,
328,2014,188,2014_188,S,6/18/2018,CEVE,30,,,,,30,1,1,30,3,
329,2014,188,2014_188,W,6/18/2018,CEVE,15,,,,,15,0.5,0.6,22,6,
330,2014,188,2014_188,N,6/18/2018,AMAL,5,,,,,5,1,1.2,40,15,
375,2014,190,2014_190,N,6/28/2018,Salix,20,CEVE,15,,,35,0.5,0.8,75,20,
